name,link,description,tags-by-category
presenton,https://github.com/presenton/presenton,,
openshorts,https://github.com/mutonby/openshorts,,
gauntlet-loop,https://github.com/robonuggets/gauntlet-loop,,
jev-ultrafast,https://github.com/browser-use/jev-ultrafast,,
gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,,
buzz,https://github.com/block/buzz,,
AIS-OS,https://github.com/nateherkai/AIS-OS,,
scroll-craft,https://github.com/nateherkai/scroll-craft,,
ponytail,https://github.com/DietrichGebert/ponytail,,
caveman,https://github.com/JuliusBrussee/caveman,,
watermarks-remover,https://github.com/guillaumemeyer/watermarks-remover,,
agentspackai,https://github.com/farfarawaylabs/agentspackai,,
cloudflare-os,https://github.com/cloudflare/cloudflare-os,,
codex-plugin-cc,https://github.com/openai/codex-plugin-cc,,
codex-router,https://github.com/duolahypercho/codex-router,,
ai-mastery-assessment,https://github.com/Bradicusmax/ai-mastery-assessment,,
sol-advisor,https://github.com/DannyMac180/sol-advisor,,
last30days-skill,https://github.com/mvanhorn/last30days-skill,,
Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,,
COG-second-brain,https://github.com/huytieu/COG-second-brain,,
parrot,https://github.com/digimata/parrot,,
quill,https://github.com/digimata/quill,,
jcode,https://github.com/1jehuang/jcode,,
nicks-stack,https://github.com/nickvasilescu/nicks-stack,,
ai-marketing-skills,https://github.com/ericosiu/ai-marketing-skills,,
beat-claude,https://github.com/ericosiu/beat-claude,,
bitchat,https://github.com/permissionlesstech/bitchat,,
plugins,https://github.com/openai/plugins,,
orca,https://github.com/stablyai/orca,,
i-have-adhd,https://github.com/ayghri/i-have-adhd,,
agentguard,https://github.com/GoPlusSecurity/agentguard,,
celesto,https://github.com/CelestoAI/celesto,,
destructive_command_guard,https://github.com/Dicklesworthstone/destructive_command_guard,,
palpatine,https://github.com/NovusEdge/palpatine,,
looper,https://github.com/ksimback/looper,,
skills,https://github.com/mattpocock/skills,,
MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,,
stop-slop,https://github.com/hardikpandya/stop-slop,,
agentic-inbox,https://github.com/cloudflare/agentic-inbox,,
gemini-notebook-mcp-cli,https://github.com/jacob-bd/gemini-notebook-mcp-cli,,
gbrain,https://github.com/garrytan/gbrain,,
taste-skill,https://github.com/Leonxlnx/taste-skill,,
hermes-desktop,https://github.com/fathah/hermes-desktop,,
tokscale,https://github.com/junhoyeo/tokscale,,
LifeOS,https://github.com/danielmiessler/LifeOS,,
skills,https://github.com/vercel-labs/skills,,
supersplat,https://github.com/playcanvas/supersplat,,
vellum-assistant,https://github.com/vellum-ai/vellum-assistant,,
ViMax,https://github.com/HKUDS/ViMax,,
the-library,https://github.com/disler/the-library,,
myPKA,https://github.com/myICOR/myPKA,,
open-codesign,https://github.com/OpenCoworkAI/open-codesign,,
n8n-mcp,https://github.com/czlonkowski/n8n-mcp,,
Kronos,https://github.com/shiyu-coder/Kronos,,
ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,,
superpowers,https://github.com/obra/superpowers,,
tolaria,https://github.com/refactoringhq/tolaria,,
prompt-master,https://github.com/nidhinjs/prompt-master,,
remotion,https://github.com/remotion-dev/remotion,,
ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,,
evolver,https://github.com/EvoMap/evolver,,
open-agents,https://github.com/vercel-labs/open-agents,,
voicebox,https://github.com/jamiepine/voicebox,,
video-use,https://github.com/browser-use/video-use,,
design.md,https://github.com/google-labs-code/design.md,,
awesome-claude-design,https://github.com/VoltAgent/awesome-claude-design,,
skills,https://github.com/heygen-com/skills,,
omi,https://github.com/BasedHardware/omi,,
hyperframes-launch-video,https://github.com/heygen-com/hyperframes-launch-video,,
hyperframes,https://github.com/heygen-com/hyperframes,,
OpenMontage,https://github.com/calesthio/OpenMontage,,
postiz-app,https://github.com/gitroomhq/postiz-app,,
zero-employee-company-book,https://github.com/AnthonyDavidAdams/zero-employee-company-book,,
